iteracion,T,magnetizacion,n
370000,4.800000,0.006348,64
375000,4.800000,-0.019531,64
380000,4.800000,0.012695,64
385000,4.800000,0.000977,64
390000,4.800000,-0.005371,64
395000,4.800000,-0.019531,64
400000,4.800000,0.009277,64
405000,4.800000,-0.015625,64
410000,4.800000,0.023438,64
415000,4.800000,0.023438,64
420000,4.800000,0.001465,64
425000,4.800000,0.010742,64
430000,4.800000,-0.023438,64
435000,4.800000,-0.015625,64
440000,4.800000,0.016113,64
445000,4.800000,0.016602,64
450000,4.800000,0.011230,64
455000,4.800000,-0.001953,64
460000,4.800000,0.030273,64
465000,4.800000,0.014160,64
470000,4.800000,-0.007324,64
475000,4.800000,-0.012207,64
480000,4.800000,-0.004395,64
485000,4.800000,0.002930,64
490000,4.800000,0.003418,64
495000,4.800000,0.005371,64
500000,4.800000,0.019531,64
505000,4.800000,-0.010254,64
510000,4.800000,0.020020,64
515000,4.800000,0.006836,64
520000,4.800000,-0.004395,64
525000,4.800000,-0.014160,64
530000,4.800000,-0.003418,64
535000,4.800000,0.000000,64
540000,4.800000,0.001953,64
545000,4.800000,-0.009277,64
550000,4.800000,0.022461,64
555000,4.800000,0.011719,64
560000,4.800000,0.026367,64
565000,4.800000,-0.006836,64
570000,4.800000,0.013672,64
575000,4.800000,0.005859,64
580000,4.800000,-0.022461,64
585000,4.800000,0.001953,64
590000,4.800000,0.002441,64
595000,4.800000,0.011230,64
600000,4.800000,-0.013184,64
605000,4.800000,-0.000977,64
610000,4.800000,0.010254,64
615000,4.800000,0.000000,64
620000,4.800000,-0.004395,64
625000,4.800000,0.019043,64
630000,4.800000,0.004883,64
635000,4.800000,0.015625,64
640000,4.800000,0.019043,64
645000,4.800000,0.001465,64
650000,4.800000,-0.001465,64
655000,4.800000,-0.012207,64
660000,4.800000,0.024414,64
665000,4.800000,0.003906,64
670000,4.800000,-0.000488,64
675000,4.800000,-0.002930,64
680000,4.800000,-0.011719,64
685000,4.800000,0.022461,64
690000,4.800000,-0.004883,64
695000,4.800000,-0.014648,64
700000,4.800000,-0.011719,64
705000,4.800000,-0.012207,64
710000,4.800000,-0.033203,64
715000,4.800000,-0.000977,64
720000,4.800000,0.004883,64
725000,4.800000,0.006836,64
730000,4.800000,-0.003418,64
735000,4.800000,-0.020996,64
740000,4.800000,0.021484,64
745000,4.800000,-0.015137,64
750000,4.800000,-0.015625,64
755000,4.800000,0.000000,64
760000,4.800000,-0.018066,64
765000,4.800000,-0.002930,64
770000,4.800000,-0.017578,64
775000,4.800000,0.010742,64
780000,4.800000,-0.008789,64
785000,4.800000,0.004883,64
790000,4.800000,-0.008301,64
795000,4.800000,0.005859,64
800000,4.800000,0.000488,64
805000,4.800000,0.023926,64
810000,4.800000,-0.044922,64
815000,4.800000,0.023438,64
820000,4.800000,0.007812,64
825000,4.800000,-0.005371,64
830000,4.800000,0.011230,64
835000,4.800000,0.018066,64
840000,4.800000,-0.005371,64
845000,4.800000,0.009277,64
850000,4.800000,0.014160,64
855000,4.800000,-0.009277,64
860000,4.800000,0.000488,64
865000,4.800000,0.008789,64
870000,4.800000,-0.014648,64
875000,4.800000,0.012695,64
880000,4.800000,0.000488,64
885000,4.800000,0.011719,64
890000,4.800000,0.000977,64
895000,4.800000,-0.001953,64
900000,4.800000,-0.004883,64
905000,4.800000,0.002441,64
910000,4.800000,-0.013184,64
915000,4.800000,-0.012695,64
920000,4.800000,-0.005371,64
925000,4.800000,-0.004883,64
930000,4.800000,0.015137,64
935000,4.800000,0.015625,64
940000,4.800000,-0.010254,64
945000,4.800000,0.003418,64
950000,4.800000,0.005371,64
955000,4.800000,0.015625,64
960000,4.800000,-0.013184,64
965000,4.800000,0.012695,64
970000,4.800000,0.003906,64
975000,4.800000,0.019531,64
980000,4.800000,0.009277,64
985000,4.800000,0.012207,64
990000,4.800000,-0.003906,64
995000,4.800000,-0.004395,64
1000000,4.800000,0.011230,64
1005000,4.800000,0.007812,64
1010000,4.800000,-0.003906,64
1015000,4.800000,0.002930,64
1020000,4.800000,-0.011230,64
1025000,4.800000,0.020508,64
1030000,4.800000,0.019043,64
1035000,4.800000,0.022949,64
1040000,4.800000,0.017090,64
1045000,4.800000,0.006348,64
1050000,4.800000,-0.011230,64
1055000,4.800000,-0.003906,64
1060000,4.800000,0.020020,64
1065000,4.800000,-0.006348,64
1070000,4.800000,-0.016602,64
1075000,4.800000,-0.043457,64
1080000,4.800000,0.003906,64
1085000,4.800000,-0.004395,64
1090000,4.800000,0.004395,64
1095000,4.800000,-0.021973,64
1100000,4.800000,0.020020,64
1105000,4.800000,0.016602,64
1110000,4.800000,0.000000,64
1115000,4.800000,-0.008301,64
1120000,4.800000,-0.006348,64
1125000,4.800000,-0.008301,64
1130000,4.800000,0.006348,64
1135000,4.800000,0.008789,64
1140000,4.800000,0.010742,64
1145000,4.800000,-0.003418,64
1150000,4.800000,0.015625,64
1155000,4.800000,-0.005371,64
1160000,4.800000,0.014160,64
1165000,4.800000,-0.002930,64
1170000,4.800000,0.009277,64
1175000,4.800000,0.022949,64
1180000,4.800000,0.010742,64
1185000,4.800000,0.001465,64
1190000,4.800000,-0.003906,64
1195000,4.800000,-0.006836,64
1200000,4.800000,0.015625,64
1205000,4.800000,0.003418,64
1210000,4.800000,0.029785,64
1215000,4.800000,-0.002930,64
1220000,4.800000,0.011230,64
1225000,4.800000,0.002441,64
1230000,4.800000,-0.008789,64
1235000,4.800000,0.000488,64
1240000,4.800000,0.003418,64
1245000,4.800000,0.008789,64
1250000,4.800000,0.003418,64
1255000,4.800000,0.015137,64
1260000,4.800000,0.008301,64
1265000,4.800000,0.013672,64
1270000,4.800000,0.029297,64
1275000,4.800000,-0.029785,64
1280000,4.800000,-0.008789,64
1285000,4.800000,0.008301,64
1290000,4.800000,0.009766,64
1295000,4.800000,0.039062,64
1300000,4.800000,-0.001465,64
1305000,4.800000,-0.011230,64
1310000,4.800000,0.002930,64
1315000,4.800000,-0.017578,64
1320000,4.800000,-0.005859,64
1325000,4.800000,0.000488,64
1330000,4.800000,-0.009766,64
1335000,4.800000,0.014648,64
1340000,4.800000,-0.004395,64
1345000,4.800000,-0.008301,64
1350000,4.800000,-0.010742,64
1355000,4.800000,0.001465,64
1360000,4.800000,-0.006348,64
1365000,4.800000,-0.025879,64
1370000,4.800000,0.003906,64
1375000,4.800000,0.008789,64
1380000,4.800000,-0.001953,64
1385000,4.800000,-0.008789,64
1390000,4.800000,0.002441,64
1395000,4.800000,-0.002930,64
1400000,4.800000,0.020508,64
1405000,4.800000,-0.001953,64
1410000,4.800000,-0.003418,64
1415000,4.800000,-0.021484,64
1420000,4.800000,-0.008789,64
1425000,4.800000,0.010254,64
1430000,4.800000,-0.010254,64
1435000,4.800000,-0.004883,64
1440000,4.800000,0.007812,64
1445000,4.800000,-0.014648,64
1450000,4.800000,0.014648,64
1455000,4.800000,0.018555,64
1460000,4.800000,-0.001953,64
1465000,4.800000,0.030762,64
1470000,4.800000,-0.004883,64
1475000,4.800000,-0.033203,64
1480000,4.800000,-0.021973,64
1485000,4.800000,-0.005371,64
1490000,4.800000,0.001953,64
1495000,4.800000,-0.001465,64
1500000,4.800000,0.008789,64
1505000,4.800000,-0.022949,64
1510000,4.800000,-0.025391,64
1515000,4.800000,-0.016602,64
1520000,4.800000,0.024414,64
1525000,4.800000,-0.006348,64
1530000,4.800000,0.003906,64
1535000,4.800000,-0.003418,64
1540000,4.800000,0.010254,64
1545000,4.800000,-0.001953,64
1550000,4.800000,-0.006348,64
1555000,4.800000,-0.020020,64
1560000,4.800000,-0.016113,64
1565000,4.800000,-0.026367,64
1570000,4.800000,-0.004883,64
1575000,4.800000,-0.008789,64
1580000,4.800000,-0.017090,64
1585000,4.800000,-0.016113,64
1590000,4.800000,0.007324,64
1595000,4.800000,0.000488,64
1600000,4.800000,0.003906,64
1605000,4.800000,0.005859,64
1610000,4.800000,-0.019043,64
1615000,4.800000,0.010742,64
1620000,4.800000,0.014648,64
1625000,4.800000,0.001465,64
1630000,4.800000,0.013184,64
1635000,4.800000,0.009277,64
1640000,4.800000,0.008301,64
1645000,4.800000,-0.005371,64
1650000,4.800000,-0.011230,64
1655000,4.800000,-0.004883,64
1660000,4.800000,-0.021973,64
1665000,4.800000,0.004883,64
1670000,4.800000,-0.004883,64
1675000,4.800000,-0.032227,64
1680000,4.800000,0.000977,64
1685000,4.800000,-0.023438,64
1690000,4.800000,0.010742,64
1695000,4.800000,-0.016113,64
1700000,4.800000,0.013184,64
1705000,4.800000,-0.010254,64
1710000,4.800000,-0.005371,64
1715000,4.800000,0.003418,64
1720000,4.800000,-0.005859,64
1725000,4.800000,-0.006836,64
1730000,4.800000,0.008789,64
1735000,4.800000,-0.002441,64
1740000,4.800000,0.004883,64
1745000,4.800000,-0.000488,64
1750000,4.800000,0.001465,64
1755000,4.800000,0.010254,64
1760000,4.800000,0.012207,64
1765000,4.800000,0.005859,64
1770000,4.800000,-0.014160,64
1775000,4.800000,-0.008301,64
1780000,4.800000,-0.009277,64
1785000,4.800000,0.014648,64
1790000,4.800000,0.029297,64
1795000,4.800000,-0.005371,64
1800000,4.800000,-0.035156,64
1805000,4.800000,-0.022461,64
1810000,4.800000,-0.023926,64
1815000,4.800000,-0.013184,64
1820000,4.800000,-0.000488,64
1825000,4.800000,-0.010742,64
1830000,4.800000,-0.023926,64
1835000,4.800000,0.004395,64
1840000,4.800000,-0.029785,64
1845000,4.800000,0.001953,64
1850000,4.800000,0.000488,64
1855000,4.800000,-0.009766,64
1860000,4.800000,0.007324,64
1865000,4.800000,-0.001953,64
1870000,4.800000,-0.016113,64
1875000,4.800000,0.032715,64
1880000,4.800000,0.023926,64
1885000,4.800000,-0.007812,64
1890000,4.800000,-0.008301,64
1895000,4.800000,0.004883,64
1900000,4.800000,-0.014160,64
1905000,4.800000,0.008301,64
1910000,4.800000,-0.009277,64
1915000,4.800000,-0.011719,64
1920000,4.800000,-0.004395,64
1925000,4.800000,-0.003418,64
1930000,4.800000,0.011719,64
1935000,4.800000,0.011230,64
1940000,4.800000,0.021484,64
1945000,4.800000,0.017578,64
1950000,4.800000,0.001465,64
1955000,4.800000,0.014160,64
1960000,4.800000,-0.016602,64
1965000,4.800000,0.012695,64
1970000,4.800000,0.008301,64
1975000,4.800000,0.022949,64
1980000,4.800000,-0.000488,64
1985000,4.800000,0.012207,64
1990000,4.800000,0.028320,64
1995000,4.800000,0.012207,64
0,4.700000,-0.000488,64
5000,4.700000,-0.005371,64
10000,4.700000,0.008789,64
15000,4.700000,0.004395,64
20000,4.700000,-0.020020,64
25000,4.700000,0.006836,64
30000,4.700000,0.006348,64
35000,4.700000,0.021973,64
40000,4.700000,-0.006836,64
45000,4.700000,0.003906,64
50000,4.700000,0.000977,64
55000,4.700000,-0.002441,64
60000,4.700000,-0.006348,64
65000,4.700000,0.017578,64
70000,4.700000,-0.006836,64
75000,4.700000,-0.030273,64
80000,4.700000,0.000000,64
85000,4.700000,-0.005371,64
90000,4.700000,-0.007324,64
95000,4.700000,-0.007812,64
100000,4.700000,-0.016602,64
105000,4.700000,0.008789,64
110000,4.700000,0.014160,64
115000,4.700000,-0.001953,64
120000,4.700000,-0.006348,64
125000,4.700000,-0.016113,64
130000,4.700000,0.004395,64
135000,4.700000,0.000977,64
140000,4.700000,0.014160,64
145000,4.700000,0.000977,64
150000,4.700000,0.019043,64
155000,4.700000,0.009766,64
160000,4.700000,0.016602,64
165000,4.700000,-0.001953,64
170000,4.700000,-0.002441,64
175000,4.700000,0.005859,64
180000,4.700000,0.000488,64
185000,4.700000,0.003906,64
190000,4.700000,0.001953,64
195000,4.700000,0.000488,64
200000,4.700000,0.012207,64
205000,4.700000,0.025879,64
210000,4.700000,0.001465,64
215000,4.700000,0.010254,64
220000,4.700000,0.006348,64
225000,4.700000,0.013184,64
230000,4.700000,0.005859,64
235000,4.700000,-0.019531,64
240000,4.700000,0.013184,64
245000,4.700000,0.016113,64
250000,4.700000,-0.001953,64
255000,4.700000,0.004395,64
260000,4.700000,0.000488,64
265000,4.700000,-0.008789,64
270000,4.700000,-0.010254,64
275000,4.700000,-0.010254,64
280000,4.700000,0.014160,64
285000,4.700000,-0.011230,64
290000,4.700000,-0.020996,64
295000,4.700000,-0.024902,64
300000,4.700000,-0.013672,64
305000,4.700000,-0.011230,64
310000,4.700000,-0.001465,64
315000,4.700000,0.001953,64
320000,4.700000,-0.011230,64
325000,4.700000,-0.023438,64
330000,4.700000,0.007812,64
335000,4.700000,0.012207,64
340000,4.700000,0.005859,64
345000,4.700000,-0.037109,64
350000,4.700000,-0.006836,64
355000,4.700000,-0.039551,64
360000,4.700000,-0.010742,64
365000,4.700000,0.017578,64
370000,4.700000,-0.021973,64
375000,4.700000,0.012207,64
380000,4.700000,-0.003418,64
385000,4.700000,-0.002930,64
390000,4.700000,-0.004395,64
395000,4.700000,0.000000,64
400000,4.700000,0.001953,64
405000,4.700000,-0.009766,64
410000,4.700000,0.006348,64
415000,4.700000,-0.018555,64
420000,4.700000,-0.021973,64
425000,4.700000,-0.006836,64
430000,4.700000,-0.001465,64
435000,4.700000,-0.031738,64
440000,4.700000,0.021484,64
445000,4.700000,-0.004883,64
450000,4.700000,0.000977,64
455000,4.700000,-0.015625,64
460000,4.700000,-0.030273,64
465000,4.700000,-0.004395,64
470000,4.700000,0.018066,64
475000,4.700000,-0.028809,64
480000,4.700000,0.003906,64
485000,4.700000,0.010254,64
490000,4.700000,0.011719,64
495000,4.700000,0.008789,64
500000,4.700000,-0.002441,64
505000,4.700000,0.000488,64
510000,4.700000,0.008789,64
515000,4.700000,0.011230,64
520000,4.700000,0.018555,64
525000,4.700000,0.014160,64
530000,4.700000,0.016113,64
535000,4.700000,-0.009277,64
540000,4.700000,-0.001465,64
545000,4.700000,0.011230,64
550000,4.700000,0.015137,64
555000,4.700000,0.003906,64
560000,4.700000,-0.005371,64
565000,4.700000,0.022949,64
570000,4.700000,0.023438,64
575000,4.700000,-0.037598,64
580000,4.700000,-0.011719,64
585000,4.700000,-0.016113,64
590000,4.700000,-0.030273,64
595000,4.700000,-0.024414,64
600000,4.700000,-0.026367,64
605000,4.700000,-0.008789,64
610000,4.700000,-0.011230,64
615000,4.700000,-0.032715,64
620000,4.700000,0.016602,64
625000,4.700000,0.005859,64
630000,4.700000,0.004395,64
635000,4.700000,-0.026855,64
640000,4.700000,0.005859,64
645000,4.700000,0.015625,64
650000,4.700000,0.015625,64
655000,4.700000,-0.014160,64
660000,4.700000,0.004883,64
665000,4.700000,0.004883,64
670000,4.700000,-0.016602,64
675000,4.700000,0.004883,64
680000,4.700000,0.014648,64
685000,4.700000,0.019531,64
690000,4.700000,-0.013184,64
695000,4.700000,0.007324,64
700000,4.700000,-0.010742,64
705000,4.700000,0.009766,64
710000,4.700000,-0.029785,64
715000,4.700000,0.013184,64
720000,4.700000,0.011230,64
725000,4.700000,-0.018555,64
730000,4.700000,0.003418,64
735000,4.700000,0.015625,64
740000,4.700000,-0.006348,64
745000,4.700000,0.020508,64
750000,4.700000,0.018066,64
755000,4.700000,0.005371,64
760000,4.700000,0.000977,64
765000,4.700000,0.000488,64
770000,4.700000,0.001953,64
775000,4.700000,-0.008301,64
780000,4.700000,-0.004883,64
785000,4.700000,-0.002930,64
790000,4.700000,-0.010254,64
795000,4.700000,-0.026855,64
800000,4.700000,-0.003906,64
805000,4.700000,0.020020,64
810000,4.700000,0.018555,64
815000,4.700000,0.005859,64
820000,4.700000,0.007324,64
825000,4.700000,0.012207,64
830000,4.700000,0.003418,64
835000,4.700000,0.018555,64
840000,4.700000,0.002441,64
845000,4.700000,0.001465,64
850000,4.700000,-0.009766,64
855000,4.700000,-0.013672,64
860000,4.700000,-0.006348,64
865000,4.700000,-0.001465,64
870000,4.700000,-0.003418,64
875000,4.700000,-0.009277,64
880000,4.700000,0.000000,64
885000,4.700000,-0.024902,64
890000,4.700000,0.005859,64
895000,4.700000,0.027832,64
900000,4.700000,-0.008301,64
905000,4.700000,0.000977,64
910000,4.700000,-0.015137,64
915000,4.700000,-0.015137,64
920000,4.700000,0.012207,64
925000,4.700000,-0.021973,64
930000,4.700000,0.013184,64
935000,4.700000,0.024414,64
940000,4.700000,-0.021973,64
945000,4.700000,0.002441,64
950000,4.700000,0.009277,64
955000,4.700000,-0.007324,64
960000,4.700000,-0.005859,64
965000,4.700000,-0.012207,64
970000,4.700000,0.019531,64
975000,4.700000,0.005859,64
980000,4.700000,0.019531,64
985000,4.700000,-0.002441,64
990000,4.700000,0.009277,64
995000,4.700000,-0.000977,64
1000000,4.700000,0.013184,64
1005000,4.700000,-0.000977,64
1010000,4.700000,-0.009766,64
1015000,4.700000,0.004395,64
1020000,4.700000,-0.024902,64
1025000,4.700000,0.014648,64
1030000,4.700000,0.020508,64
1035000,4.700000,0.012207,64
1040000,4.700000,0.009766,64
1045000,4.700000,0.002441,64
1050000,4.700000,-0.030762,64
1055000,4.700000,0.007324,64
1060000,4.700000,0.004883,64
1065000,4.700000,-0.001953,64
1070000,4.700000,0.009766,64
1075000,4.700000,-0.015137,64
1080000,4.700000,0.008789,64
1085000,4.700000,0.000977,64
1090000,4.700000,0.026367,64
1095000,4.700000,-0.035645,64
1100000,4.700000,0.014648,64
1105000,4.700000,0.019531,64
1110000,4.700000,0.006836,64
1115000,4.700000,0.021484,64
1120000,4.700000,0.006836,64
1125000,4.700000,-0.020508,64
1130000,4.700000,-0.003418,64
1135000,4.700000,-0.006348,64
1140000,4.700000,0.020020,64
1145000,4.700000,0.009277,64
1150000,4.700000,-0.004395,64
1155000,4.700000,-0.019531,64
1160000,4.700000,0.019531,64
1165000,4.700000,0.030762,64
1170000,4.700000,0.026855,64
1175000,4.700000,-0.000488,64
1180000,4.700000,0.004395,64
1185000,4.700000,-0.011230,64
1190000,4.700000,-0.019043,64
1195000,4.700000,0.003418,64
1200000,4.700000,0.006348,64
1205000,4.700000,0.010742,64
1210000,4.700000,0.001465,64
1215000,4.700000,0.002930,64
1220000,4.700000,-0.003906,64
1225000,4.700000,0.028320,64
1230000,4.700000,0.006348,64
1235000,4.700000,-0.017090,64
1240000,4.700000,-0.016602,64
1245000,4.700000,-0.001953,64
1250000,4.700000,-0.014160,64
1255000,4.700000,-0.001953,64
1260000,4.700000,0.007812,64
1265000,4.700000,0.007812,64
1270000,4.700000,0.003418,64
1275000,4.700000,0.003906,64
1280000,4.700000,-0.030762,64
1285000,4.700000,0.008301,64
1290000,4.700000,-0.001465,64
1295000,4.700000,0.019043,64
1300000,4.700000,0.007812,64
1305000,4.700000,0.018555,64
1310000,4.700000,0.001953,64
1315000,4.700000,-0.007812,64
1320000,4.700000,-0.003418,64
1325000,4.700000,0.018555,64
1330000,4.700000,0.003418,64
1335000,4.700000,0.021973,64
1340000,4.700000,-0.013672,64
1345000,4.700000,-0.007812,64
1350000,4.700000,-0.020020,64
1355000,4.700000,-0.008301,64
1360000,4.700000,0.023438,64
1365000,4.700000,-0.009766,64
1370000,4.700000,-0.003906,64
1375000,4.700000,-0.008301,64
1380000,4.700000,0.021973,64
1385000,4.700000,0.006348,64
1390000,4.700000,-0.015625,64
1395000,4.700000,-0.011230,64
1400000,4.700000,0.014648,64
1405000,4.700000,-0.000488,64
1410000,4.700000,-0.019531,64
1415000,4.700000,-0.003906,64
1420000,4.700000,0.007812,64
1425000,4.700000,-0.000488,64
1430000,4.700000,-0.015625,64
1435000,4.700000,0.004395,64
1440000,4.700000,-0.003906,64
1445000,4.700000,0.027344,64
1450000,4.700000,0.008301,64
1455000,4.700000,-0.017090,64
1460000,4.700000,-0.008789,64
1465000,4.700000,-0.012207,64
1470000,4.700000,-0.018555,64
1475000,4.700000,0.008301,64
1480000,4.700000,-0.010254,64
1485000,4.700000,0.013184,64
1490000,4.700000,-0.013672,64
1495000,4.700000,-0.009766,64
1500000,4.700000,-0.027344,64
1505000,4.700000,0.003906,64
1510000,4.700000,0.008301,64
1515000,4.700000,-0.018066,64
1520000,4.700000,-0.013672,64
1525000,4.700000,-0.016113,64
1530000,4.700000,-0.014648,64
1535000,4.700000,-0.015625,64
1540000,4.700000,-0.007324,64
1545000,4.700000,0.004883,64
1550000,4.700000,0.008301,64
1555000,4.700000,-0.004883,64
1560000,4.700000,-0.020020,64
1565000,4.700000,-0.010254,64
1570000,4.700000,0.000000,64
1575000,4.700000,0.000000,64
1580000,4.700000,-0.012207,64
1585000,4.700000,0.014160,64
1590000,4.700000,-0.006348,64
1595000,4.700000,-0.005371,64
1600000,4.700000,-0.025391,64
1605000,4.700000,0.029785,64
1610000,4.700000,0.017578,64
1615000,4.700000,0.015625,64
1620000,4.700000,0.008789,64
1625000,4.700000,-0.016602,64
1630000,4.700000,0.014160,64
1635000,4.700000,-0.001465,64
1640000,4.700000,0.000977,64
1645000,4.700000,-0.003418,64
1650000,4.700000,0.002930,64
1655000,4.700000,0.016602,64
1660000,4.700000,-0.020020,64
1665000,4.700000,-0.000977,64
1670000,4.700000,0.019043,64
1675000,4.700000,-0.008789,64
1680000,4.700000,0.006348,64
1685000,4.700000,-0.008301,64
1690000,4.700000,0.013184,64
1695000,4.700000,-0.011719,64
1700000,4.700000,0.005859,64
1705000,4.700000,0.004395,64
1710000,4.700000,-0.013672,64
1715000,4.700000,0.014160,64
1720000,4.700000,0.000977,64
1725000,4.700000,-0.011719,64
1730000,4.700000,0.002930,64
1735000,4.700000,0.003906,64
1740000,4.700000,-0.013672,64
1745000,4.700000,-0.017578,64
1750000,4.700000,0.005371,64
1755000,4.700000,-0.007324,64
1760000,4.700000,-0.003906,64
1765000,4.700000,0.001953,64
1770000,4.700000,0.007324,64
1775000,4.700000,-0.006348,64
1780000,4.700000,-0.022461,64
